# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z    mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00015547 -2.00000 10.13000 0.0936335474 1.1156111956    0.094 -3.046  3.5140  5.463    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-17      0.00 7.469e-01 2.529e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 12.384 17.299 15.007 13.196 12.113 11.729 11.626
0.00015547 -2.00000 10.13000 0.1035686582 1.2002434731    0.103 -2.749  3.5554  5.374    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-16      0.00 7.441e-01 2.557e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.642 15.903 13.639 12.069 11.389 11.084 10.985
0.00015547 -2.00000 10.13000 0.1213914230 1.3284173012    0.121 -2.499  3.5804  5.294    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-16      0.00 7.409e-01 2.589e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 11.018 14.718 12.670 11.289 10.767 10.503 10.411
0.00015547 -2.00000 10.13000 0.1234388798 1.3415665627    0.123 -2.473  3.5831  5.286    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.75e-16      0.00 7.406e-01 2.593e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.952 14.591 12.571 11.212 10.701 10.441 10.350
0.00015547 -2.00000 10.13000 0.1433091164 1.4560320377    0.143 -2.295  3.5966  5.227    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.54e-16      0.00 7.383e-01 2.615e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.507 13.846 11.964 10.716 10.255 10.015 9.931
0.00015547 -2.00000 10.13000 0.1631793380 1.5515257120    0.163 -2.156  3.6053  5.179    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.6e-16      0.00 7.371e-01 2.627e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.160 13.319 11.519 10.341 9.906 9.678 9.599
0.00015547 -2.00000 10.13000 0.2029198259 1.7036917210    0.203 -1.942  3.6169  5.106    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.92e-16      0.00 7.366e-01 2.633e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.625 12.556 10.862 9.770 9.367 9.157 9.083
0.00015547 -2.00000 10.13000 0.2525954247 1.8468697071    0.252 -1.747  3.6276  5.049    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.08e-16      0.00 7.369e-01 2.630e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 9.137 11.872 10.268 9.250 8.875 8.680 8.613
0.00015547 -2.00000 10.13000 0.3022710085 1.9574397802    0.302 -1.597  3.6365  5.013    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-15      0.00 7.369e-01 2.630e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.637e-04 8.762 11.343 9.809 8.849 8.496 8.314 8.251
0.00015547 -2.00000 10.13000 0.3321362138 2.0131282806    0.332 -1.519  3.6416  4.996    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-15      0.00 7.369e-01 2.629e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.637e-04 8.568 11.065 9.570 8.641 8.300 8.125 8.066
