# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Jul 19 15:55:13 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00049103 -1.50000 10.06070 0.0900000036 1.0816895962    0.090 -3.183  3.4749  5.427    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.31e-17      0.00 7.481e-01 2.514e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 12.728 17.880 16.199 14.284 12.618 12.073 11.965
0.00049103 -1.50000 10.06070 0.1000000015 1.1711064577    0.100 -2.894  3.5162  5.349    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-16      0.00 7.464e-01 2.531e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.005 16.871 14.672 12.914 11.831 11.428 11.318
0.00049103 -1.50000 10.06070 0.1199999973 1.3193154335    0.120 -2.608  3.5474  5.267    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-16      0.00 7.438e-01 2.557e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 11.290 15.669 13.444 11.854 11.085 10.756 10.652
0.00049103 -1.50000 10.06070 0.1400000006 1.4384527206    0.140 -2.427  3.5627  5.213    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.11e-16      0.00 7.420e-01 2.575e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.837 14.918 12.767 11.268 10.619 10.321 10.222
0.00049103 -1.50000 10.06070 0.1599999964 1.5372931957    0.160 -2.285  3.5729  5.170    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.24e-16      0.00 7.406e-01 2.589e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.482 14.356 12.273 10.840 10.259 9.978 9.883
0.00049103 -1.50000 10.06070 0.2000000179 1.6938792467    0.200 -2.064  3.5861  5.099    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.84e-16      0.00 7.394e-01 2.601e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 9.929 13.531 11.551 10.212 9.698 9.439 9.350
0.00049103 -1.50000 10.06070 0.2500000000 1.8403258324    0.250 -1.859  3.5972  5.036    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-15      0.00 7.394e-01 2.601e-01 8.883e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.419 12.801 10.909 9.651 9.181 8.939 8.856
0.00049103 -1.50000 10.06070 0.3000000417 1.9529141188    0.300 -1.704  3.6058  4.994    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-15      0.00 7.396e-01 2.599e-01 8.882e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.030 12.255 10.425 9.228 8.787 8.558 8.478
0.00049103 -1.50000 10.06070 0.3415059447 2.0292723179    0.342 -1.598  3.6119  4.969    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-15      0.00 7.396e-01 2.599e-01 8.879e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.766 11.884 10.095 8.941 8.518 8.299 8.223
0.00049103 -1.50000 10.06070 0.3499999940 2.0434174538    0.350 -1.578  3.6131  4.965    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-15      0.00 7.396e-01 2.599e-01 8.879e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.715 11.814 10.033 8.886 8.468 8.250 8.174
